subscale,S_total,S_base,S_corr
GAD,0.317041297470342,0.13590077659002944,0.18114052088031257
ISI,-0.5594102421030682,-0.3939016135830908,-0.16550862851997739
PHQ,0.012224849050911596,0.17468716858869088,-0.1624623195377793
PSS,-0.40396979263056,0.07703679430368808,-0.48100658693424797
