,mae,mae,mae,r2,r2,r2,rmse,rmse,rmse
model_type,rf,svr,xgb,rf,svr,xgb,rf,svr,xgb
target,,,,,,,,,
GAD,1.7447268203972641,1.4263810182879055,1.7338242048524581,-0.015442807869163966,-0.1924719298580122,-0.013142696368457107,2.664151507638353,2.8870563960243363,2.661132470276274
ISI,2.3786615586805238,2.201739490121668,2.3922507733271265,-0.020736663370162,-0.1315969794700511,-0.03319228484990866,3.302618037962265,3.4773418008192842,3.3227071704920346
PHQ,2.3342613746140555,2.0330033903155407,2.3347353689358816,-0.013722651883183223,-0.2005945982075119,-0.017877179383203545,3.2392114005185384,3.525152497802403,3.245842224506804
PSS,8.055498872412162,8.056078767753728,8.060200390894769,0.008470949289792529,0.0012519554469274663,-0.006283070702277405,9.4113669348368,9.445565320051095,9.481129267434486
total,11.471249588697969,11.423419062602676,11.559164760301565,-0.002563631205170225,-0.0018611972120814446,-0.00643769255507709,15.069505674889005,15.064225617101883,15.09859305590773
