,0
PHQ1,1.0
PHQ2,1.0
PHQ3,1.0
PHQ4,1.0
PHQ5,1.0
PHQ6,1.0
PHQ7,1.0
PHQ8,1.0
PHQ9,1.0
GAD1,1.0
GAD2,1.0
GAD3,1.0
GAD4,1.0
GAD5,1.0
GAD6,1.0
GAD7,1.0
ISI1,1.0
ISI2,1.0
ISI3,1.0
ISI4,1.0
ISI5,1.0
ISI6,1.0
ISI7,1.0
PSS1,1.0
PSS2,1.0
PSS3,1.0
PSS4,1.0
PSS5,0.0
PSS6,0.0
PSS7,0.0
PSS8,1.0
PSS9,0.0
PSS10,0.0
PSS11,1.0
PSS12,0.0
PSS13,0.0
PSS14,0.0
