,rmse,mae,r2,pearson_r,p_value
PHQ,3.247781544376671,2.340316237077347,-0.019093861532416767,0.018211780111457642,0.548826893643952
GAD,2.668038204922217,1.7337664368305101,-0.01840780269116915,0.0368739843570955,0.22467985551138975
ISI,3.2954857014617547,2.376482767791803,-0.01633265656415661,0.035588044370952324,0.24127443358918763
PSS,9.394182667320527,8.020284815474954,0.012088520477102738,0.11583893337864215,0.0001302921317775049
average,4.651372029520292,3.6177125642936536,-0.010436450077659948,0.0516281855545369,
